File Name,Full File Path,Photo Type,Date Created,Date Modified,Date Taken,File Extension,File Size,Dimensions,Folder/Album Name,Camera Model/Settings,Location/GPS Data
1990s_December_Christmas_0001.jpg,/Users/bryceharmon/Desktop/Family Photos copy/1990s_December_Christmas/1990s_December_Christmas_0001.jpg,Original,2025-02-26 22:36:48,2024-11-26 18:11:04,,.jpg,4250391,3532x2400,1990s_December_Christmas,,
1990s_December_Christmas_0001_a.jpg,/Users/bryceharmon/Desktop/Family Photos copy/1990s_December_Christmas/1990s_December_Christmas_0001_a.jpg,Enhanced,2025-02-26 22:36:48,2024-11-26 18:11:04,,.jpg,7012266,3532x2400,1990s_December_Christmas,,
1990s_December_Christmas_0002.jpg,/Users/bryceharmon/Desktop/Family Photos copy/1990s_December_Christmas/1990s_December_Christmas_0002.jpg,Original,2025-02-26 22:36:48,2024-11-26 18:11:05,,.jpg,4177401,3524x2400,1990s_December_Christmas,,
1990s_December_Christmas_0002_a.jpg,/Users/bryceharmon/Desktop/Family Photos copy/1990s_December_Christmas/1990s_December_Christmas_0002_a.jpg,Enhanced,2025-02-26 22:36:48,2024-11-26 18:11:05,,.jpg,5830766,3524x2400,1990s_December_Christmas,,
1990s_December_Christmas_0003.jpg,/Users/bryceharmon/Desktop/Family Photos copy/1990s_December_Christmas/1990s_December_Christmas_0003.jpg,Original,2025-02-26 22:36:48,2024-11-26 18:11:06,,.jpg,4289477,3540x2400,1990s_December_Christmas,,
1990s_December_Christmas_0003_a.jpg,/Users/bryceharmon/Desktop/Family Photos copy/1990s_December_Christmas/1990s_December_Christmas_0003_a.jpg,Enhanced,2025-02-26 22:36:48,2024-11-26 18:11:06,,.jpg,6269950,3540x2400,1990s_December_Christmas,,
1990s_December_Christmas_0004.jpg,/Users/bryceharmon/Desktop/Family Photos copy/1990s_December_Christmas/1990s_December_Christmas_0004.jpg,Original,2025-02-26 22:36:48,2024-11-26 18:11:08,,.jpg,3909718,3516x2400,1990s_December_Christmas,,
1990s_December_Christmas_0004_a.jpg,/Users/bryceharmon/Desktop/Family Photos copy/1990s_December_Christmas/1990s_December_Christmas_0004_a.jpg,Enhanced,2025-02-26 22:36:48,2024-11-26 18:11:08,,.jpg,5908608,3516x2400,1990s_December_Christmas,,
1990s_December_Christmas_0005.jpg,/Users/bryceharmon/Desktop/Family Photos copy/1990s_December_Christmas/1990s_December_Christmas_0005.jpg,Original,2025-02-26 22:36:48,2024-11-26 18:11:09,,.jpg,4206300,3532x2408,1990s_December_Christmas,,
1990s_December_Christmas_0005_a.jpg,/Users/bryceharmon/Desktop/Family Photos copy/1990s_December_Christmas/1990s_December_Christmas_0005_a.jpg,Enhanced,2025-02-26 22:36:48,2024-11-26 18:11:09,,.jpg,6317805,3532x2408,1990s_December_Christmas,,
1990s_December_Christmas_0006.jpg,/Users/bryceharmon/Desktop/Family Photos copy/1990s_December_Christmas/1990s_December_Christmas_0006.jpg,Original,2025-02-26 22:36:48,2024-11-26 18:11:10,,.jpg,4229062,3532x2400,1990s_December_Christmas,,
1990s_December_Christmas_0006_a.jpg,/Users/bryceharmon/Desktop/Family Photos copy/1990s_December_Christmas/1990s_December_Christmas_0006_a.jpg,Enhanced,2025-02-26 22:36:48,2024-11-26 18:11:10,,.jpg,6023717,3532x2400,1990s_December_Christmas,,
1990s_December_Christmas_0007.jpg,/Users/bryceharmon/Desktop/Family Photos copy/1990s_December_Christmas/1990s_December_Christmas_0007.jpg,Original,2025-02-26 22:36:48,2024-11-26 18:11:12,,.jpg,4258051,3556x2408,1990s_December_Christmas,,
1990s_December_Christmas_0007_a.jpg,/Users/bryceharmon/Desktop/Family Photos copy/1990s_December_Christmas/1990s_December_Christmas_0007_a.jpg,Enhanced,2025-02-26 22:36:48,2024-11-26 18:11:12,,.jpg,6351479,3556x2408,1990s_December_Christmas,,
1990s_December_Christmas_0008.jpg,/Users/bryceharmon/Desktop/Family Photos copy/1990s_December_Christmas/1990s_December_Christmas_0008.jpg,Original,2025-02-26 22:36:48,2024-11-26 18:11:13,,.jpg,4240266,3524x2400,1990s_December_Christmas,,
1990s_December_Christmas_0008_a.jpg,/Users/bryceharmon/Desktop/Family Photos copy/1990s_December_Christmas/1990s_December_Christmas_0008_a.jpg,Enhanced,2025-02-26 22:36:48,2024-11-26 18:11:13,,.jpg,6279346,3524x2400,1990s_December_Christmas,,
1990s_December_Christmas_0009.jpg,/Users/bryceharmon/Desktop/Family Photos copy/1990s_December_Christmas/1990s_December_Christmas_0009.jpg,Original,2025-02-26 22:36:48,2024-11-26 18:11:14,,.jpg,4080035,3532x2400,1990s_December_Christmas,,
1990s_December_Christmas_0009_a.jpg,/Users/bryceharmon/Desktop/Family Photos copy/1990s_December_Christmas/1990s_December_Christmas_0009_a.jpg,Enhanced,2025-02-26 22:36:48,2024-11-26 18:11:14,,.jpg,6031121,3532x2400,1990s_December_Christmas,,
1990s_December_Christmas_0010.jpg,/Users/bryceharmon/Desktop/Family Photos copy/1990s_December_Christmas/1990s_December_Christmas_0010.jpg,Original,2025-02-26 22:36:48,2024-11-26 18:11:16,,.jpg,4052432,3532x2408,1990s_December_Christmas,,
1990s_December_Christmas_0010_a.jpg,/Users/bryceharmon/Desktop/Family Photos copy/1990s_December_Christmas/1990s_December_Christmas_0010_a.jpg,Enhanced,2025-02-26 22:36:48,2024-11-26 18:11:16,,.jpg,6021603,3532x2408,1990s_December_Christmas,,
1990s_December_Christmas_0011.jpg,/Users/bryceharmon/Desktop/Family Photos copy/1990s_December_Christmas/1990s_December_Christmas_0011.jpg,Original,2025-02-26 22:36:48,2024-11-26 18:11:17,,.jpg,4083151,3564x2400,1990s_December_Christmas,,
1990s_December_Christmas_0011_a.jpg,/Users/bryceharmon/Desktop/Family Photos copy/1990s_December_Christmas/1990s_December_Christmas_0011_a.jpg,Enhanced,2025-02-26 22:36:48,2024-11-26 18:11:17,,.jpg,5638687,3564x2400,1990s_December_Christmas,,
1990s_December_Christmas_0012.jpg,/Users/bryceharmon/Desktop/Family Photos copy/1990s_December_Christmas/1990s_December_Christmas_0012.jpg,Original,2025-02-26 22:36:48,2024-11-26 18:11:19,,.jpg,3926640,3524x2400,1990s_December_Christmas,,
1990s_December_Christmas_0012_a.jpg,/Users/bryceharmon/Desktop/Family Photos copy/1990s_December_Christmas/1990s_December_Christmas_0012_a.jpg,Enhanced,2025-02-26 22:36:48,2024-11-26 18:11:19,,.jpg,5692855,3524x2400,1990s_December_Christmas,,
1990s_December_Christmas_0013.jpg,/Users/bryceharmon/Desktop/Family Photos copy/1990s_December_Christmas/1990s_December_Christmas_0013.jpg,Original,2025-02-26 22:36:48,2024-11-26 18:11:20,,.jpg,3940887,3532x2400,1990s_December_Christmas,,
1990s_December_Christmas_0013_a.jpg,/Users/bryceharmon/Desktop/Family Photos copy/1990s_December_Christmas/1990s_December_Christmas_0013_a.jpg,Enhanced,2025-02-26 22:36:48,2024-11-26 18:11:20,,.jpg,5494785,3532x2400,1990s_December_Christmas,,
1990s_December_Christmas_0014.jpg,/Users/bryceharmon/Desktop/Family Photos copy/1990s_December_Christmas/1990s_December_Christmas_0014.jpg,Original,2025-02-26 22:36:48,2024-11-26 18:11:21,,.jpg,4097231,3556x2400,1990s_December_Christmas,,
1990s_December_Christmas_0014_a.jpg,/Users/bryceharmon/Desktop/Family Photos copy/1990s_December_Christmas/1990s_December_Christmas_0014_a.jpg,Enhanced,2025-02-26 22:36:48,2024-11-26 18:11:21,,.jpg,5731695,3556x2400,1990s_December_Christmas,,
1990s_December_Christmas_0015.jpg,/Users/bryceharmon/Desktop/Family Photos copy/1990s_December_Christmas/1990s_December_Christmas_0015.jpg,Original,2025-02-26 22:36:48,2024-11-26 18:11:23,,.jpg,3700674,3532x2392,1990s_December_Christmas,,
1990s_December_Christmas_0015_a.jpg,/Users/bryceharmon/Desktop/Family Photos copy/1990s_December_Christmas/1990s_December_Christmas_0015_a.jpg,Enhanced,2025-02-26 22:36:48,2024-11-26 18:11:23,,.jpg,4653367,3532x2392,1990s_December_Christmas,,
1990s_December_Christmas_0016.jpg,/Users/bryceharmon/Desktop/Family Photos copy/1990s_December_Christmas/1990s_December_Christmas_0016.jpg,Original,2025-02-26 22:36:48,2024-11-26 18:11:24,,.jpg,3788756,3548x2400,1990s_December_Christmas,,
1990s_December_Christmas_0016_a.jpg,/Users/bryceharmon/Desktop/Family Photos copy/1990s_December_Christmas/1990s_December_Christmas_0016_a.jpg,Enhanced,2025-02-26 22:36:48,2024-11-26 18:11:24,,.jpg,4711387,3548x2400,1990s_December_Christmas,,
1990s_December_Christmas_0017.jpg,/Users/bryceharmon/Desktop/Family Photos copy/1990s_December_Christmas/1990s_December_Christmas_0017.jpg,Original,2025-02-26 22:36:48,2024-11-26 18:11:25,,.jpg,3869242,3540x2408,1990s_December_Christmas,,
